mi:eu, meu.
sina:você, seu.
ona:ele, ela, eles, elas.
ijo:coisa.
jan:pessoa.
pona:bom, consertar.
ike:ruim
moku:comer, comida.
suli:velho, grande, importante.
toki:falar, idioma, olá.
li:separa o sujeito do predicado em frases com sujeitos que não são “mi” nem “sina”.
lili:pequeno
telo:líquido.
suno:sol.
ilo:ferramenta.
kili:fruta, legume.
ni:isso, aquilo.
pipi:praga, inseto.
ma:lugar.
pakala:erro, quebrar.
e:separa o verbo do objeto direto.
esun:loja, comprar.
lukin:olho, ver.
jo:ter.
pana:dar.
pali:fazer, trabalhar.
wile:querer, precisar.
kute:orelha, ouvir.
kalama:som.
nasa:estranho, estupido.
pi:junta palavras que descrevem uma coisa.
Exemplo:
tomo pona → casa boa.
tomo pi pona suli → casa boa e grande.
lipu:documento.
kulupu:grupo.
tenpo.:tempo.
jaki:sujo, nojento.
linja:linha.
luka:mão, braço, 5.
noka:perna, pé.
lawa:cabeça, controle.
mama:pai, mãe.
ken:habilidade, possível.
lape:dormir, descansar.
tomo:estrutura.
sona:conhecimento, inteligência.
kala:animal aquático.
sijelo:corpo.
kasi:planta.
pini:fim.
kama:vir, chegar, tornar.
la:significado: se, quando, no contexto de.
exemplos:
tenpo suno la mi moku → Quando for dia, eu como.
sina wile la o toki → Se você quiser, fale.
tenpo ni:presente.
tenpo kama:futuro.
tenpo pini:passado.
len:tecido.
kiwen:objeto duro.
kon:ar.
poki:caixa, recipiente.
musi:entretenimento, arte.
awen:continuar.
soweli:mamífero terrestre.
olin:amor.
sin:novo
ala:não.
seme:o que, qual.
anu:ou.
alasa:caçar, coletar.
mani:dinheiro.
lupa:buraco, porta.
meli:fêmea.
mije:macho.
moli:morte, matar.
mun:lua.
o:ordem
akesi:réptil.
jelo:amarelo.
laso:azul, verde.
loje:vermelho.
pimeja:escuro.
walo:claro.
nimi:palavra.
open:começar.
pan:grão.
tawa:para, ir, por, na opinião de.
lon:em, existir.
kepeken:usando, com.
tan:de, pois, por causa de.
wawa:poderoso, certeza.
insa:dentro.
monsi:atrás.
poka:próximo.
sewi:cima, divino.
sinpin:frente, cara.
wan:um.
tu:dois.
mute:muito, muitos, 20.
ale (ali):tudo, 100.
nanpa:número. 
exemplo:

nanpa tu -> 2°
anpa:para baixo.
nasin:caminho, método.
nena:solavanco.
utala:luta.
pilin:sentir.
taso:mas, apenas.
a:(ênfase, emoção)
ante:outro.
lete:frio, cru.
sama:similar.
suwi:doce, fofo.
palisa:graveto.
waso:animal voador.
weka:longe ausente.
kin:também.
mu:som animal.
ko:semi-solido.
kule:cor.
seli:fogo.
selo:camada externa.
sike:coisa arredondada.
sitelen:imagem.
unpa:sexo.
uta:boca.
pu:interagindo com o livro "Toki Pona: A Língua do Bem".
